,uid,PERSON,NORP,FAC,ORG,GPE,LOC,PRODUCT,EVENT,WORK_OF_ART,LAW,LANGUAGE,DATE,TIME,PERCENT,MONEY,QUANTITY,ORGINAL,CARDINAL
14,4856f4ee-aa79-578b-bbcd-35500a9a71c9,39,0,1,11,16,1,2,0,0,0,0,20,2,0,0,2,0,11
15,321fcbde-b2ff-510c-bec8-b79efeb61715,11,2,0,14,10,2,1,1,2,0,0,8,0,0,1,0,0,1
16,a2d7e92e-8793-5ed7-ac60-4f68b147f3fc,2,0,0,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0
17,d69d62c2-ff64-5059-907c-82175694d3da,2,0,0,1,2,0,0,0,0,0,0,19,1,0,3,0,0,8
18,b2e510c5-5f7b-571b-877e-bff5da16abf9,19,1,1,7,18,0,0,1,2,0,0,9,3,0,0,0,0,3
19,87554c30-efe7-5dd2-82da-ad694c368036,15,0,0,8,5,0,1,0,0,0,0,2,0,0,0,0,0,4
20,db2e0dab-2120-5eb8-9c2a-d5c0ef0e64ec,10,2,0,13,5,1,0,1,2,0,0,11,0,1,2,0,0,7
21,4f9f69cf-4761-5709-add0-fa83367d9ba7,8,6,2,21,16,0,0,0,0,0,0,5,0,0,0,0,0,0
22,62cad7d7-5a55-52d0-8e36-75e2627890ba,2,0,0,2,3,0,0,0,0,0,0,4,0,0,0,0,0,1
23,d2e32883-6d88-5d05-b69c-64913971dcc6,24,11,1,9,13,3,0,0,0,0,0,18,1,0,1,1,0,7
24,1f0b7a88-1c3e-5d64-b6d7-e5bbe0dda97f,3,0,0,5,1,0,0,0,1,2,0,2,0,0,0,0,0,6
25,f6c2a818-fa76-55b6-a3d2-91835cbaee15,0,0,0,2,2,0,0,0,0,0,0,3,0,1,1,0,0,2
26,24885bc6-2ea8-5c3d-8af1-68b6eb3ac46d,1,3,0,5,1,0,0,0,0,0,0,0,0,0,1,0,0,2
27,62fd8ff1-d781-5ed2-aa50-38ace76fd52b,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
28,d9f7206b-8c6d-520b-9655-f42de7176eae,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
29,1e84c7a5-2777-5832-9d48-eb211874e0ce,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
30,b3011121-bab6-5f3c-8477-74575c76d2c7,5,0,0,9,1,1,1,0,0,0,0,2,1,0,2,0,0,2
31,4f0587df-50cd-5f62-9c4d-22bfccc94f5c,7,1,0,19,5,0,0,0,0,0,0,13,1,3,0,0,0,11
32,5ed5679a-963d-575d-995b-3265a58a3f85,1,1,0,3,2,0,0,0,0,0,0,4,0,0,0,0,0,1
33,6f77ea37-7233-5dbd-938d-a958eb0174b1,16,3,1,15,8,3,1,0,3,0,0,7,6,0,4,0,0,10
34,8064a842-17bf-5bf9-895d-64d5478f6ba1,5,0,0,8,7,1,0,2,0,0,0,6,2,0,0,0,0,2
35,9fe108d3-2d73-52bc-85e9-55afa0a8fe82,1,6,0,13,5,5,4,0,0,0,0,3,0,0,0,1,0,4
36,a885c871-35e5-5c1a-ac83-0eff83d609bb,1,1,0,12,0,0,0,0,1,0,0,2,0,0,0,0,0,2
37,5c48dfbb-d3c4-5fea-ba49-36c57fa3566b,6,0,0,17,8,0,1,0,1,0,0,3,0,0,0,0,0,13
38,b26b8575-1c87-5cd9-823f-f1e9c66b1003,13,1,0,8,8,0,0,2,0,0,0,8,0,0,2,0,0,5
39,6c9f3b88-d4d3-598d-9bff-499dfbb28779,16,5,0,21,13,0,0,0,0,0,0,9,1,0,0,1,0,13
40,f534177a-6d82-5270-9d65-b0bb0f3c9954,0,1,1,4,4,0,0,1,0,0,0,2,0,0,1,2,0,0
41,a55ab1cd-53ac-5979-859b-601c6dcd2eee,21,0,1,41,29,0,1,0,3,0,0,12,0,0,2,0,0,11
42,2fcfd9e6-810e-56ae-9c38-74cc5c8c817f,2,0,0,3,3,0,0,0,0,0,0,1,1,0,0,0,0,0
43,90982274-42ff-56a0-a4e4-5639e6661398,0,1,0,4,7,1,0,0,0,0,0,4,0,0,0,0,0,0
44,7d0b584f-38a7-5a1e-a515-ad512ff53913,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
45,66e166cd-7d47-52e3-8ee6-af39b6ad1c73,10,6,1,4,27,6,0,0,0,0,0,5,0,0,1,1,0,1
46,f5628981-df4d-53f4-8a8c-902b1779ab0a,29,0,1,9,0,0,0,0,0,0,0,3,4,0,0,0,0,1
