,uid,PERSON,NORP,FAC,ORG,GPE,LOC,PRODUCT,EVENT,WORK_OF_ART,LAW,LANGUAGE,DATE,TIME,PERCENT,MONEY,QUANTITY,ORGINAL,CARDINAL,label
7013,13a2f3d0-7598-5d6d-b35c-42b4f55c4785,1,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
1490,c01aaa08-8fee-5902-b6cd-2c996ccbf22c,0,6,0,5,6,0,0,0,0,0,0,3,1,0,0,0,0,4,1
17143,f0869322-dc6b-53f8-aacb-11aee19ab53d,5,1,0,4,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0
3053,e479a6a2-3a5e-53dd-95ab-25847bf42d4a,8,0,0,2,8,1,0,0,0,0,0,9,2,0,0,0,0,3,1
15933,350f7929-c734-5db0-a1b5-eae9fafb1b0b,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9408,f5b221e2-9eb2-5ad5-999f-ee9f79066c3a,14,2,0,29,15,1,0,0,0,0,0,10,0,0,1,2,0,14,1
4757,2346d1b8-b31e-5274-bd8f-8b061e46b818,26,13,0,15,2,1,0,0,0,0,0,9,0,0,0,0,0,3,1
19617,1037cb1a-1017-5803-8a56-d049e597743d,12,2,0,7,5,0,0,0,0,0,0,6,0,0,0,2,0,15,0
19918,0e8f86c2-efbf-5fe9-8796-ee7963ca8789,11,3,0,9,1,0,0,0,0,0,0,12,1,1,0,0,0,5,0
19379,889f6d3e-1e7a-5ed0-9da4-0d48819229d4,0,1,0,1,0,0,0,0,0,1,0,2,1,0,6,0,0,0,0
15114,7f52de27-e1a9-56fc-ba51-75d975c767d9,0,0,0,2,3,3,0,0,0,0,0,2,0,0,0,0,0,2,0
12681,cb9c29d6-654d-558a-a4cf-4c9b39fca7b1,0,2,0,0,1,0,0,0,0,0,0,4,0,0,5,0,0,3,0
2279,c11fa71f-9027-57bb-b01e-17455c7a70cf,14,0,2,9,13,0,0,0,0,0,0,8,1,0,0,1,0,9,1
15050,2e7ba299-a734-50f7-8099-245aa5decca5,1,3,0,2,1,0,0,0,0,0,0,4,0,0,0,0,0,6,0
4023,11bbf8e3-8af3-5a9d-b7ce-a4deb3b85757,7,0,0,2,0,0,0,0,0,0,0,4,0,0,1,0,0,11,1
13065,cb77476c-d3a8-5c7e-a0b7-bc9f4d427545,2,2,0,6,2,0,0,0,0,1,0,5,0,0,0,0,0,4,0
19229,ff97cc8d-7454-5335-8a47-7c000d7468a4,4,0,0,4,1,0,0,0,0,0,0,2,0,0,0,0,0,3,0
18435,7f128562-2f88-536d-95dd-ab2795ffabad,2,2,0,5,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0
5711,cbe8cf48-5f92-5728-b149-a1fb7a1e0cbc,6,1,1,5,5,1,0,1,0,0,0,20,7,0,0,7,0,6,1
12852,f22fff1a-4bc9-5c5d-9563-63abdaddb33c,4,2,1,18,9,0,0,0,0,0,0,11,1,0,0,0,0,4,0
1569,ff8c4859-e814-5542-a39e-978bdd94a806,0,0,0,0,1,0,1,0,0,0,1,6,0,0,0,0,0,2,1
9779,ad2ee108-6d80-5dd5-a155-bee8cee33615,40,33,4,87,155,7,1,3,0,1,0,32,3,0,0,1,0,60,1
9194,f4cd2be5-56c4-53ce-954d-c550939bdeeb,7,2,0,9,4,9,1,0,0,0,0,38,0,0,0,2,0,63,1
10997,15ee48fc-bf7d-5968-85af-0b7f546bd323,2,6,0,5,8,1,0,0,0,0,0,4,0,0,0,0,0,5,0
14914,18275929-2502-5f3b-a7cb-1f62a28bbba8,8,4,0,3,3,1,0,0,0,1,0,1,0,0,0,0,0,3,0
7911,18245ce6-f070-5889-bf70-020bd3efb300,10,1,0,0,3,0,1,0,0,0,0,5,0,0,0,0,0,4,1
6229,54d5188c-d897-5385-8f0d-76d95bd9c593,3,3,1,7,5,1,0,0,0,0,0,6,0,2,1,2,0,8,1
14267,e8fede2e-705a-53d9-97c1-187fee3c2c60,10,3,1,5,2,4,0,2,0,0,0,3,0,0,0,0,0,5,0
329,6668ec71-2db1-536e-9b7f-23ec74d7f44d,4,3,0,8,4,1,0,1,0,0,0,16,1,0,0,1,0,5,1
10897,06eb92d1-bb44-5732-b575-cf539e59e86a,1,5,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9073,b62af650-d458-53ba-ad72-3969333225ab,2,0,0,1,0,0,0,0,0,0,0,8,0,0,3,1,0,4,1
2871,336c75a0-286b-5292-acae-2b148bc578c4,3,3,0,3,0,1,1,1,0,0,0,3,1,0,0,0,0,3,1
1430,2c2f2935-168a-51a6-836c-021e4185ad3d,4,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,8,1
3458,01830db4-6f4d-5f81-9ab1-26fc2e4f6ea2,3,0,6,3,13,1,0,1,0,0,0,11,9,0,0,2,0,4,1
2058,4c2ade7b-57e9-50ff-913d-56a272a30c14,2,0,0,5,0,0,0,0,0,0,0,2,0,1,0,0,0,3,1
13069,bdf42ad7-8a53-5489-92e3-4adea5bde289,12,3,0,9,3,0,0,0,0,0,0,1,4,0,0,0,0,1,0
5536,787be818-bf5c-5d0f-abd9-765674507262,6,0,0,7,2,1,1,0,0,0,0,5,0,0,0,0,0,5,1
1516,5d401aec-1c19-53bf-835f-09ec38dab81b,20,0,0,15,3,0,2,0,0,0,0,11,2,0,0,0,0,6,1
10165,394245ef-dca8-5652-bbb4-04b67d93f521,0,1,0,3,1,0,0,1,0,0,0,3,0,0,0,0,0,1,0
3901,7849ebe6-5b22-535c-b487-b085e0d1e355,1,0,0,2,2,1,0,0,0,0,0,15,6,0,0,1,0,3,1
15994,ede04212-0d35-5811-acf6-fc1571037135,0,1,0,1,4,0,0,0,0,0,0,2,0,0,0,0,0,6,0
16945,b41ade52-65e2-5575-a06c-4731cc1b5142,2,6,0,16,1,0,0,0,0,0,0,7,0,0,2,0,0,5,0
2770,c9432cdd-71c4-5241-a1f3-4fc8a3d7ccb6,20,1,0,17,11,0,0,0,0,0,0,31,6,0,0,0,0,20,1
