,uid,PERSON,NORP,FAC,ORG,GPE,LOC,PRODUCT,EVENT,WORK_OF_ART,LAW,LANGUAGE,DATE,TIME,PERCENT,MONEY,QUANTITY,ORGINAL,CARDINAL
47,62fe14cc-4a40-50bc-ae36-2b1a2972b19d,7,2,1,1,5,0,0,0,0,0,0,6,0,0,0,0,0,12
48,97247744-ab69-5a38-928f-fb06c9ff7692,2,1,0,8,5,0,2,0,0,0,0,16,0,2,6,0,0,2
49,f7a85948-c450-522f-b0d6-31503976b770,16,2,0,9,1,2,0,0,0,0,0,5,0,9,1,0,0,3
50,208e3d3d-d9ef-5e94-91f6-0d5210ba2403,22,2,0,10,2,0,0,0,5,0,0,6,0,0,0,0,0,2
51,1315505a-e430-5e2d-8dcf-97710ed5eafb,3,4,1,2,6,0,0,0,1,1,0,12,0,0,0,0,0,2
52,cdcd9b4a-6ad3-5c16-8d36-e32d6eb01b04,4,0,0,10,7,0,0,0,0,0,0,6,1,0,0,0,0,8
53,78c0c23a-a21f-5382-9592-99b22070bd78,0,0,2,0,3,1,0,0,0,0,0,1,0,0,0,1,0,2
54,b1f69f45-9cbb-59eb-a9f2-02b9c938cd9c,3,0,0,18,1,0,0,0,1,0,0,16,0,2,1,0,0,5
55,4c8a1b4c-3ff6-5a8d-938d-3b9992dc3ffa,21,7,5,150,23,12,5,6,5,0,0,131,1,18,82,12,0,60
56,7bb3a7d4-90eb-5b15-8b48-faf534f04ad2,7,4,0,35,8,0,1,1,1,0,0,9,0,0,0,0,0,15
57,f832ba8f-b27d-50a8-ac1f-cdd2aa15e802,71,4,0,38,23,3,0,0,0,0,0,41,2,1,0,3,0,16
58,fb7084f9-b665-558d-a5e3-7133213afca3,9,2,1,40,9,1,0,1,0,0,0,11,0,3,1,3,0,3
59,1c2c381f-3896-525b-9ad1-29330343f2c6,4,1,0,12,9,0,0,0,0,0,0,10,3,0,0,0,0,7
60,c5544543-e1a6-5074-81c3-d96339e2557f,17,4,1,13,6,0,0,0,0,2,0,2,0,0,0,0,0,4
61,0eb0d067-eb6a-54e0-a78c-733db85e78ed,15,2,4,16,12,0,1,4,1,0,0,33,1,0,4,0,0,18
62,2a746746-2422-5c30-b049-3185e15702b4,5,2,0,18,12,2,2,0,1,0,0,6,2,0,0,0,0,3
63,f0863500-ca4b-58c7-bf0b-7c8056ee19d3,3,0,1,51,2,0,0,0,1,0,0,9,0,1,0,0,0,6
64,e4937b08-080e-59f7-819f-13df3fd61f30,3,1,2,7,1,1,0,0,0,0,0,8,0,0,0,0,0,3
65,c3dbe656-ed2b-59bc-9204-0c451933a3ca,12,3,1,15,1,1,0,0,0,0,0,2,2,0,0,0,0,2
66,89e4a1f0-cace-5453-858f-acefbe63eb47,2,0,1,18,8,0,0,0,1,0,0,6,0,0,0,0,0,0
67,fc1247c8-69b0-520c-b862-485fa01db75a,2,0,1,11,4,0,0,0,0,0,0,7,1,0,0,2,0,8
68,8d46bbad-96be-5c07-9e2d-421d5e9a22c3,34,8,1,28,32,1,0,0,0,0,0,13,1,7,14,0,0,11
69,ec2c249a-911c-57d4-b391-86c227313e51,3,1,2,15,11,3,0,1,0,0,0,8,0,2,5,3,0,8
70,e16e3c17-4d78-5906-8300-996684792da2,28,2,0,39,12,1,0,0,2,0,0,19,0,0,0,0,0,1
71,c5327092-8d6c-5879-a91e-e69ee0a0222d,14,2,1,24,23,7,1,0,0,0,0,2,3,0,0,0,0,7
72,feb164b0-fb70-5f83-a6a3-2f4d16628141,2,1,0,6,7,0,0,0,0,0,0,2,0,0,4,0,0,1
73,ab6b93ec-fc45-5265-929e-22dc7d117613,1,0,0,24,28,0,0,0,0,0,0,48,0,17,2,0,0,10
74,bf4dab04-671e-5883-a3a0-435fe039efa3,3,4,0,6,6,1,0,0,0,0,0,7,3,0,1,0,0,7
75,c0d3a6e6-105d-5f81-8f68-39535aac53e9,2,10,0,11,8,0,0,0,2,0,0,4,0,0,0,0,0,3
76,06fe1e66-e223-5f8d-b2df-3ee7e729edcc,21,1,0,3,1,0,0,0,2,0,0,3,0,0,0,1,0,4
77,1cf9085e-0bae-5284-8d69-d8ff420a9781,6,0,1,40,15,7,2,0,1,4,0,13,2,3,5,3,0,18
78,d169cfd1-31b6-5aaf-b881-572ab1f13a7d,27,6,1,17,10,2,0,0,0,0,0,12,3,0,0,0,0,5
79,31adb398-3d18-5b3e-8395-19329619fdcf,6,0,0,9,3,0,1,0,1,0,0,9,2,0,3,0,0,6
80,1f41d4b2-0430-5b67-8dc3-ca8838d99de2,3,0,0,6,1,0,0,0,0,0,0,3,1,0,0,0,0,0
81,833c9979-44c0-5019-8dd0-4786fc14631c,7,0,0,8,8,0,0,0,0,0,0,3,0,0,3,0,0,6
82,d75d5083-8657-59de-a670-78d19635066b,92,4,44,136,66,15,2,6,7,0,2,91,86,0,23,1,0,171
